Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.25     0.00       42     0.00     0.00  std::allocator<int> const std::allocator_traits<std::allocator<int> >::_S_select<std::allocator<int> const, void>(std::allocator<int> const&, ...)
  0.00      3.25     0.00       42     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      3.25     0.00       42     0.00     0.00  std::_Miter_base<std::move_iterator<Piece**> >::iterator_type std::__miter_base<std::move_iterator<Piece**> >(std::move_iterator<Piece**>)
  0.00      3.25     0.00       42     0.00     0.00  std::move_iterator<Piece**> std::__make_move_if_noexcept_iterator<Piece**, std::move_iterator<Piece**> >(Piece**)
  0.00      3.25     0.00       38     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      3.25     0.00       37     0.00     0.00  split(std::string const&, char)
  0.00      3.25     0.00       37     0.00     0.00  split(std::string const&, char, std::vector<int, std::allocator<int> >&)
  0.00      3.25     0.00       37     0.00     0.00  std::_Vector_base<Piece*, std::allocator<Piece*> >::_M_get_Tp_allocator()
  0.00      3.25     0.00       36     0.00     0.00  Piece::getId()
  0.00      3.25     0.00       36     0.00     0.00  Piece::to_string()
  0.00      3.25     0.00       36     0.00     0.01  Piece::Piece(std::vector<int, std::allocator<int> >, int)
  0.00      3.25     0.00       36     0.00     0.00  void __gnu_cxx::new_allocator<Piece*>::construct<Piece*, Piece*>(Piece**, Piece*&&)
  0.00      3.25     0.00       36     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_propagate_on_copy_assign()
  0.00      3.25     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > >::__normal_iterator<Piece**>(__gnu_cxx::__normal_iterator<Piece**, __gnu_cxx::__enable_if<std::__are_same<Piece**, Piece**>::__value, std::vector<Piece*, std::allocator<Piece*> > >::__type> const&)
  0.00      3.25     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > >::__normal_iterator(Piece* const* const&)
  0.00      3.25     0.00       36     0.00     0.00  decltype ((({parm#1}.base)())-(({parm#2}.base)())) __gnu_cxx::operator-<Piece* const*, Piece**, std::vector<Piece*, std::allocator<Piece*> > >(__gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > > const&, __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > > const&)
  0.00      3.25     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > >::difference_type __gnu_cxx::operator-<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > >(__gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > > const&, __gnu_cxx::__normal_iterator<Piece* const*, std::vector<Piece*, std::allocator<Piece*> > > const&)
  0.00      3.25     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<Piece**, std::vector<Piece*, std::allocator<Piece*> > >::operator+(long) const
  0.00      3.25     0.00       36     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::get_allocator() const
  0.00      3.25     0.00       36     0.00     0.00  std::vector<Piece*, std::allocator<Piece*> >::cbegin() const
  0.00      3.25     0.00       36     0.00     0.00  std::vector<int, std::allocator<int> >::capacity() const
  0.00      3.25     0.00       36     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::allocator<int> const&)
  0.00      3.25     0.00       36     0.00     0.00  std::enable_if<std::__and_<std::allocator_traits<std::allocator<Piece*> >::__construct_helper<Piece*, Piece*>::type>::value, void>::type std::allocator_traits<std::allocator<Piece*> >::_S_construct<Piece*, Piece*>(std::allocator<Piece*>&, Piece**, Piece*&&)
